Yr	lPower		lSpan		lLength		lWeight		lSpeed		lRange
34	6.390241	2.818995	2.464704	8.468633	5.783825	7.255591
34	6.390241	2.4681		2.048982	7.649693	5.908083	6.756932
34	6.486161	3.113515	2.70805		8.656955	5.616771	7.863267
34	6.068426	2.433613	2.230014	7.867106	5.736572	6.829794
34	6.228511	2.63548		2.270062	8.167919	5.765191	7.130899
34	7.712444	3.583519	3.031582	9.854822	5.710427	7.565275
34	7.083388	3.198673	2.901422	9.179881	5.736572	7.17012
34	6.936343	3.054001	2.734368	8.809863	5.63479		7.20786
34	7.331519	2.418589	2.298577	8.256088	6.580639	7.221105
34	6.182911	2.704042	2.440606	8.209036	5.433722	6.913737
34	6.663133	3.118392	2.833213	8.75621		5.525453	6.907755
35	5.003946	2.867899	2.617396	8.160518	5.659482	6.327937
35	6.508769	2.723924	2.367436	8.438799	5.805135	7.049255
35	7.488853	3.456317	2.970414	9.684461	5.641907	8.238008
35	6.175243	2.301585	2.076938	7.491088	5.913503	6.60665
35	6.182911	2.162173	1.876407	7.438972	5.942799	7.241366
35	6.753438	3.129389	2.872434	8.93564		5.429346	7.299797
35	7.223442	2.844909	2.564949	8.784468	6.059123	7.762171
35	7.606885	3.11795		2.797281	9.546813	6.075346	7.575585
35	6.486161	2.351375	2.119863	7.70391		5.831882	6.756932
35	6.950144	2.624669	2.442347	8.79255		6.016157	6.907755
35	6.285998	2.980619	2.667228	8.281471	5.337538	6.907755
35	6.613653	2.493205	2.261763	7.98956		6.063785	7.003065
35	6.451102	2.256541	1.974081	7.408531	5.991465	6.907755
35	7.167501	3.238678	2.864484	9.146335	5.521461	7.31322
35	6.257668	2.484907	2.163323	7.709757	5.872118	7.003065
35	7.16588		2.294553	2.179287	8.13564		6.431331	6.284134
35	6.270988	2.397895	2.022871	7.420579	6.086775	7.090077
35	7.424762	3.277145	2.95491		9.425452	5.897154	7.917536
35	6.613653	3.218876	2.800325	8.987197	5.908083	7.863267
35	7.167501	3.111291	2.851862	8.922658	5.783825	6.907755
35	6.662494	2.430098	2.171337	7.910591	6.180017	7.192934
35	7.167501	3.178054	2.879198	9.13777		5.828946	7.600902
35	4.574711	2.275214	2.028148	6.810142	5.129899	6.909753
35	6.562444	2.337952	2.124654	7.950855	5.934894	7.226936
35	6.228511	2.649715	2.342767	7.866339	5.537334	7.496652
36	7.40001		3.365916	2.977059	9.449436	5.613128	7.408531
36	6.636603	2.800933	2.557227	8.49597		5.961005	6.993933
36	7.306531	3.07084		2.783158	9.220291	6.063785	8.006368
36	5.187386	2.656757	2.292535	7.189922	5.164786	6.543912
36	8.067651	3.688879	3.243764	9.975808	5.828946	8.318742
36	6.455199	2.74084		2.530517	8.476371	5.669881	7.696213
36	7.813592	3.679334	3.31854		10.068451	5.568345	8.546752
36	7.002156	2.788708	2.564949	9.212737	6.309918	6.802395
36	7.379632	3.242592	3.095578	9.456419	5.905362	7.78904
36	6.415097	2.74084		2.272126	8.160518	5.669881	6.907755
36	7.221105	2.886475	2.558776	9.093807	6.098074	7.31322
36	8.009828	3.54818		3.289893	9.889997	5.739793	7.126891
36	7.201916	2.933857	2.617396	9.169518	6.086775	7.600902
36	7.26543		3.011606	2.507157	8.779557	6.109248	7.31322
37	6.613653	2.351375	2.208274	7.937375	6.232448	6.39693
37	6.43935		2.388763	2.054124	7.903227	6.156979	6.907755
37	7.938089	3.496508	3.169686	10.03012	5.950643	8.39841
37	6.270988	2.791165	2.360854	8.14526		5.680173	6.785588
37	6.182911	2.484907	2.219203	7.718685	5.768321	6.721426
37	8.182		3.558201	3.186353	10.320354	5.83773		7.45008
37	6.427297	2.285439	2.123458	7.675546	5.996452	6.49224
37	7.228824	3.293983	3.220475	9.252633	5.774552	7.81843
37	6.318968	2.21266		2.098018	7.40367		5.883322	6.056784
37	6.783325	2.500616	2.277267	8.227376	6.287859	6.60665
37	7.402452	3.062924	2.66026		9.215328	6.052089	8.29405
37	6.496775	2.646175	2.379546	8.2247		5.70711		6.55108
37	6.562444	2.70805		2.454447	8.232706	6.047372	7.20786
37	7.3068		2.747271	2.379546	8.817298	6.194405	7.402452
37	7.437795	3.114404	2.843164	9.341193	6.173786	7.423568
37	6.508173	2.674149	2.341806	8.177797	5.846439	7.026427
37	7.019297	2.99373		2.600465	8.979417	5.97381		8.106213
37	6.43935		2.358965	2.102914	7.752765	6.22059		6.768493
37	7.873522	3.210844	2.917771	9.519368	6.122493	7.49276
37	6.633318	2.74084		2.332144	8.318742	5.940171	6.887553
37	6.270988	2.424803	2.018895	7.489971	6.131226	6.300786
37	6.685861	2.667228	2.322388	8.242756	6.059123	7.353082
37	6.795706	2.370244	2.079442	8.085487	6.248043	7.383989
37	6.535677	3.123686	2.481568	8.524169	5.905362	8.335192
38	7.437795	2.884801	2.501436	8.876265	6.272877	7.600902
38	8.469682	3.835142	3.475067	10.548022	5.768321	9.03229
38	7.866339	2.944439	2.833213	9.723164	6.327937	7.824046
38	6.508173	2.912351	2.484907	8.281471	5.840642	6.536692
38	8.182		3.453157	3.122365	10.299239	6.135565	8.076826
38	6.496775	2.639057	2.379546	8.190354	5.379897	7.172425
38	6.508769	2.525729	2.397895	8.221479	5.743003	6.982863
38	7.201916	3.141995	2.85532		9.11603		5.857933	7.649693
38	8.095599	3.487375	3.122365	9.854875	5.981414	8.254789
38	7.843064	3.624341	3.549617	10.077987	5.823046	7.698483
38	6.690842	2.674149	2.424803	8.29405		5.929589	7.649693
38	6.677083	2.723924	2.496506	8.465689	5.556828	7.31055
38	6.677083	2.723924	2.560323	8.465689	5.556828	7.31055
38	7.428927	2.867899	2.61007		9.172535	6.054439	7.418181
38	7.234177	2.890372	2.74084		9.03217		5.869297	7.622664
38	6.519147	2.322388	2.169054	7.930206	6.272877	7.130899
38	6.921658	2.734368	2.282382	8.517193	6.139885	7.244228
38	6.016157	2.549445	2.196113	7.843064	5.831882	7.244228
38	6.562444	2.395164	2.043814	7.956827	6.118097	7.565793
38	7.083388	3.126761	2.674149	9.332558	6.173786	7.822044
38	7.76811		3.268047	2.979603	9.534885	6.016157	8.017637
38	6.497077	2.723924	2.230014	7.895436	5.910797	6.873164
39	7.872074	3.314186	3.044522	10.029239	6.159095	7.872074
39	6.795706	2.449279	2.173615	8.190632	6.238325	7.12206
39	5.899897	2.549445	2.302585	7.857481	5.749393	7.095893
39	6.451102	2.674149	2.384165	8.035926	5.739793	6.55108
39	7.599401	2.995732	2.66026		9.546813	6.152733	7.824046
39	6.709304	2.282382	2.182675	8.070906	6.327937	6.476972
39	6.43935		2.272126	2.111425	7.738488	6.109248	6.652863
39	8.182		3.511545	3.020425	10.29306	6.180017	8.125631
39	7.695303	2.76317		2.444952	9.189934	6.50129		6.584791
39	6.795706	2.341806	2.219203	8.233503	6.429719	6.990257
39	7.355641	2.927989	2.654649	8.924789	6.09357		7.645876
39	8.048788	3.582685	3.19171		10.216472	5.749393	8.216088
39	7.776535	2.927453	2.683074	9.299358	6.259581	7.408531
39	6.474354	2.475698	2.197225	7.787382	5.968708	6.448889
39	7.921898	3.218876	2.97553		9.433484	6.086775	8.283999
39	6.508322	2.484907	2.163323	7.816014	6.234411	7.783224
39	7.358194	2.687847	2.397895	8.527144	6.388561	7.965546
39	6.562444	2.493205	2.22029		7.979339	6.049733	6.966024
39	6.463029	2.361797	2.100469	7.839919	6.190315	6.684612
39	7.201916	3.168424	2.942331	9.112948	5.783825	7.853605
39	4.779123	2.215937	1.921325	6.738152	5.351858	6.338594
39	7.712265	3.054001	2.785011	9.332558	6.073045	7.600902
39	6.709304	2.302585	2.13771		7.944492	6.324359	6.745236
40	8.587763	3.457893	3.082827	10.336698	6.2186		7.614805
40	7.286192	3.048325	2.793004	9.048762	6.054439	8.070906
40	8.615408	3.637586	3.336837	10.388995	6.146329	8.879055
40	7.446585	2.85934		2.545531	8.817298	6.224558	7.783224
40	7.488853	3.353407	3.00072		9.615805	5.966147	7.740664
40	7.108244	2.706048	2.512846	8.791334	5.905362	6.859615
40	7.3068		2.99373		2.720637	8.979417	6.033086	8.019942
40	7.851661	2.867899	2.564949	9.351927	6.274762	7.78904
40	6.242223	2.639057	2.278292	7.955074	5.768321	7.090077
40	6.795706	2.537657	2.310553	8.370316	6.016157	7.492203
40	7.837554	2.927989	2.693275	9.444068	6.244167	7.36328
40	6.795706	2.406945	2.054124	8.14613		6.165418	7.31322
40	6.795706	2.332144	2.099244	8.116716	6.461468	7.130899
40	6.73578		2.397895	2.203869	7.917172	6.345636	7.358831
40	6.74876		2.649008	2.507157	8.399535	6.109248	7.160846
40	7.921971	3.025291	2.778819	9.850087	6.09357		7.62657
40	8.095599	3.688879	3.198673	10.340128	6.104793	8.29405
40	6.795706	2.395164	2.161022	8.138273	6.336826	7.160069
40	8.500657	3.407842	3.280535	10.365679	6.075346	7.646354
40	7.446585	2.525729	2.322388	8.763741	6.628041	7.496652
40	7.144407	2.71866		2.414126	8.759355	6.159095	8.038512
40	7.711997	3.295837	3.091042	9.820106	5.828946	8.4659
40	7.999679	3.49408		3.147165	10.142504	5.70711		7.540622
40	5.815026	2.394252	2.327278	7.909122	5.616771	7.286192
40	7.843064	2.803966	2.537657	9.355911	6.527958	8.636397
41	7.881182	3.091042	2.704711	9.583971	6.253829	7.824046
41	8.469934	3.73767		3.339322	10.714418	6.109248	8.709465
41	6.709304	2.484907	2.169054	8.08641		6.383507	7.549609
41	6.795706	2.358965	2.180417	7.985144	6.39693		6.639876
41	7.402452	2.797281	2.415914	8.999619	6.429719	7.783224
41	8.536407	4.007333	3.3485		10.714418	5.384495	7.003065
41	7.424762	2.529721	2.447551	8.895767	6.426488	7.644919
41	5.996452	2.500616	2.248129	7.824046	5.669881	7.377759
41	6.753438	2.385086	2.186051	7.878534	6.278521	7.426549
41	7.57661		2.842581	2.533697	9.050172	6.291569	7.090077
41	7.083388	2.351375	2.19277		8.49699		6.487684	6.684612
41	6.753438	2.397895	2.123458	8.091627	6.300786	6.946976
41	7.543803	2.517696	2.400619	9.082507	6.536692	6.856462
41	7.255591	2.803966	2.524928	9.001716	6.095825	7.393263
42	7.54009		2.525729	2.350422	8.734077	6.566672	7.20934
42	7.402086	2.535283	2.275214	8.70118		6.496775	6.710523
42	6.891626	2.60269		2.277267	8.565983	6.011267	6.327937
42	6.59619		2.302585	2.099244	7.777374	6.272877	6.856462
42	7.355641	2.709383	2.360854	8.570924	6.304449	7.31322
42	7.002156	2.472328	2.124654	8.218787	6.429719	7.408531
42	7.306531	2.569554	2.326302	8.761393	6.391917	7.326466
42	7.921971	2.99373		2.758109	9.55116		6.2186		7.669028
42	7.3068		3.074543	2.876386	9.760021	6.135565	7.565793
42	7.677864	3.578227	3.353407	10.407681	5.899897	8.30028
42	6.985179	2.246015	2.174752	7.926603	6.413459	7.17012
42	6.985179	3.010621	2.785011	9.276128	6.194405	7.783224
42	8.405591	3.465736	3.104138	10.305112	6.040255	8.166216
42	8.482188	3.437208	3.178054	10.336698	5.926926	8.376781
42	6.89467		2.459589	2.302585	8.468633	6.487684	6.584791
42	6.950048	2.815409	2.4681		8.797548	6.011267	7.090077
42	7.921971	2.936513	2.624669	9.4572		6.309918	7.575585
42	7.144407	2.683758	2.494857	8.719807	6.107023	6.866933
42	6.921658	2.302585	2.145931	8.070906	6.383507	7.110696
42	6.950144	2.442347	2.322388	8.271293	6.363028	7.654443
43	8.38845		3.448081	3.091042	10.341742	6.190315	8.4659
43	8.788136	3.763523	3.407842	11.066638	6.356108	8.794522
43	7.326466	2.833213	2.501436	8.888757	6.278521	7.684784
43	5.043425	2.488234	2.150599	7.370231	5.533389	7.134891
43	7.200425	2.449279	2.237513	8.634087	6.767343	7.582229
43	7.372746	2.646175	2.533697	9.195227	6.609349	7.396335
44	7.880804	3.45537		3.059176	9.755567	5.857933	7.661527
44	9.252633	3.763523	3.514526	11.099438	6.403574	8.769818
44	8.014336	2.618855	2.467252	9.15694		6.633318	8.482188
44	7.712444	2.745346	2.43799		8.89563		6.363028	7.600902
44	7.21524		2.667228	2.442347	8.779557	6.338594	8.019613
44	6.556778	1.974081	2.202765	7.901007	6.733402	6.413459
44	7.517521	2.498974	2.353278	8.941938	6.838405	7.705713
44	6.913737	2.525729	2.405142	8.314342	6.222576	6.913737
44	8.048788	2.753661	2.626117	9.364434	6.532334	7.482682
44	7.712265	2.725235	2.529721	9.359105	6.381816	7.644919
44	7.312687	2.232163	1.73871		8.368461	6.866933	4.382027
44	7.369727	2.525729	2.361797	8.860073	6.766192	6.956545
44	8.557951	3.600048	3.173878	10.523903	5.948035	8.656085
44	6.508322	2.475698	2.337952	8.15823		5.723585	7.134891
44	5.003946	2.395164	2.143589	7.125283	5.313206	6.584791
44	7.045428	2.701361	2.384165	8.599694	6.173786	7.279319
44	7.3068		2.525729	2.406945	8.567886	6.43615		8.44247
44	5.003946	2.404239	1.98238		7.17549		5.298317	6.617403
44	7.255591	2.424803	2.294553	8.188689	6.437752	7.438384
44	7.999679	3.060583	2.748552	9.672564	6.39693		7.720018
44	7.606885	2.738903	2.471484	9.336092	6.238325	7.277939
44	6.913737	2.500616	2.288486	8.572628	6.527958	7.665285
44	7.695303	2.833213	2.580217	9.082507	6.35437		7.863267
44	6.920672	2.431857	2.318458	8.297544	6.410175	5.955837
44	7.255591	2.71866		2.414126	8.759355	6.159095	8.038512
45	7.518064	2.459589	2.35802		8.630879	6.584791	7.027315
45	7.019297	2.484907	2.177022	8.160518	6.363028	7.600902
45	6.390241	2.85647		2.481568	8.308938	5.823046	7.254885
45	8.559486	3.454738	3.330059	10.497919	6.473891	8.687779
45	7.355641	2.390596	2.152924	8.678461	6.519147	7.483244
45	3.401197	2.388763	1.84055		6.175867	5.003946	5.996452
45	7.154615	2.519308	2.469793	8.549467	6.697034	7.007601
45	5.358471	2.322388	2.091864	7.340836	5.823046	7.407318
45	5.003946	2.399712	1.913977	7.215975	5.484797	7.185387
45	7.989899	3.493473	3.109061	9.901385	5.891644	7.185387
45	7.537963	2.747271	2.4681		8.979417	6.304449	7.082549
45	7.331715	2.674149	2.370244	8.560253	6.633318	7.600902
45	8.048788	3.380314	3.188417	9.931929	6.086775	8.070906
46	7.714231	2.406945	2.452728	9.275191	6.908755	7.383368
46	4.204693	2.370244	1.88707		6.489205	5.170484	6.327937
46	9.740498	4.249923	3.89995		11.997731	6.55108		9.300455
47	5.815026	2.683758	2.223542	7.746301	5.4161		7.132498
47	7.832014	2.615204	2.504709	9.222269	6.821107	7.772332
47	6.614726	2.901422	2.517696	8.612503	5.55296		6.802395
47	8.515592	3.539219	3.214466	10.499215	6.327937	8.830543
47	8.300032	3.558201	3.206803	10.068451	5.955837	6.902743
47	7.677864	2.475698	2.492379	8.902183	6.871091	5.913503
47	4.812184	2.433613	2.04122		6.835185	5.209486	6.598509
48	7.640123	2.472328	2.443216	8.78722		6.872128	7.680176
48	8.615046	3.505557	3.271848	9.112728	5.968708	7.374629
48	7.775276	2.310553	2.306577	8.594154	6.922644	6.522093
48	9.574983	3.566712	3.496508	11.425459	6.920672	8.546752
48	8.764053	2.900872	2.797891	9.86058		6.889591	7.249926
48	6.709304	2.837323	2.569554	8.515191	5.908083	7.280008
48	8.468423	3.065725	2.870736	9.952278	6.802395	7.68708
48	7.937375	2.427454	2.609334	8.86785		6.862758	7.041412
48	8.688117	3.352007	3.262318	10.400772	6.35437		7.845416
49	8.870663	3.555348	3.344627	10.771155	6.669498	7.689829
49	7.824046	2.449279	2.471484	9.046762	6.837333	7.645876
49	6.227722	2.624669	2.261763	8.063063	5.926926	7.683404
49	7.489133	2.91723		2.580974	9.336092	6.228511	7.78904
49	7.778211	2.477378	2.437116	9.143132	7.007601	7.30317
49	6.390241	2.503892	2.278292	8.028781	6.133398	7.385231
49	7.724005	2.80699		2.573375	9.092795	6.175867	6.97073
49	4.718499	2.375836	1.925707	6.677083	5.220356	6.609349
49	5.068904	2.397895	2.066863	7.005789	5.214936	6.742881
49	7.661056	3.383033	2.953868	9.741557	5.937536	8.430981
49	8.686092	2.970414	2.995732	10.123627	6.769642	7.167038
50	9.223691	3.822536	3.566994	11.167049	6.408529	9.069928
50	6.613653	3.081451	2.693275	8.719807	5.726848	7.696213
50	9.047351	3.89995		3.411148	11.021902	5.948035	7.645876
